Iteration; Energy; Damage
0; 99.900002; 0.000000
1; 99.800003; 0.000000
2; 99.700005; 0.000000
3; 99.600006; 0.000000
4; 99.500008; 0.000000
5; 99.400009; 0.000000
6; 99.300011; 0.000000
7; 99.200012; 0.000000
8; 99.100014; 0.000000
9; 99.000015; 0.000000
10; 98.900017; 0.000000
11; 98.800018; 0.000000
12; 98.700020; 0.000000
13; 98.600021; 0.000000
14; 98.500023; 0.000000
15; 98.400024; 0.000000
16; 98.300026; 0.000000
17; 98.200027; 0.000000
18; 98.100029; 0.000000
19; 98.000031; 0.000000
20; 97.900032; 0.000000
21; 97.800034; 0.000000
22; 97.700035; 0.000000
23; 97.600037; 0.000000
24; 97.500038; 0.000000
25; 97.400040; 0.000000
26; 97.300041; 0.000000
27; 97.200043; 0.000000
28; 97.100044; 0.000000
29; 97.000046; 0.000000
30; 96.900047; 0.000000
31; 96.800049; 0.000000
32; 96.700050; 0.000000
33; 96.600052; 0.000000
34; 96.500053; 0.000000
35; 96.400055; 0.000000
36; 96.300056; 0.000000
37; 96.200058; 0.000000
38; 96.100060; 0.000000
39; 96.000061; 0.000000
40; 95.900063; 0.000000
41; 95.800064; 0.000000
42; 95.700066; 0.000000
43; 95.600067; 0.000000
44; 95.500069; 0.000000
45; 95.400070; 0.000000
46; 95.300072; 0.000000
47; 95.200073; 0.000000
48; 95.100075; 0.000000
49; 95.000076; 0.000000
50; 94.900078; 0.000000
51; 94.800079; 0.000000
52; 94.700081; 0.000000
53; 94.600082; 0.000000
54; 94.500084; 0.000000
55; 94.400085; 0.000000
56; 94.300087; 0.000000
57; 94.200089; 0.000000
58; 94.100090; 0.000000
59; 94.000092; 0.000000
60; 93.900093; 0.000000
61; 93.800095; 0.000000
62; 93.700096; 0.000000
63; 93.600098; 0.000000
64; 93.500099; 0.000000
65; 93.400101; 0.000000
66; 93.300102; 0.000000
67; 93.200104; 0.000000
68; 93.100105; 0.000000
69; 93.000107; 0.000000
70; 92.900108; 0.000000
71; 92.800110; 0.000000
72; 92.700111; 0.000000
73; 92.600113; 0.000000
74; 92.500114; 0.000000
75; 92.400116; 0.000000
76; 92.300117; 0.000000
77; 92.200119; 0.000000
78; 92.100121; 0.000000
79; 92.000122; 0.000000
80; 91.900124; 0.000000
81; 91.800125; 0.000000
82; 91.700127; 0.000000
83; 91.600128; 0.000000
84; 91.500130; 0.000000
85; 91.400131; 0.000000
86; 91.300133; 0.000000
87; 91.200134; 0.000000
88; 91.100136; 0.000000
89; 91.000137; 0.000000
90; 90.900139; 0.000000
91; 90.800140; 0.000000
92; 90.700142; 0.000000
93; 90.600143; 0.000000
94; 90.500145; 0.000000
95; 90.400146; 0.000000
96; 90.300148; 0.000000
97; 90.200150; 0.000000
98; 90.100151; 0.000000
99; 90.000153; 0.000000
100; 89.900154; 0.000000
101; 89.800156; 0.000000
102; 89.700157; 0.000000
103; 89.600159; 0.000000
104; 89.500160; 0.000000
105; 89.400162; 0.000000
106; 89.300163; 0.000000
107; 89.200165; 0.000000
108; 89.100166; 0.000000
109; 89.000168; 0.000000
110; 88.900169; 0.000000
111; 88.800171; 0.000000
112; 88.700172; 0.000000
113; 88.600174; 0.000000
114; 88.500175; 0.000000
115; 88.400177; 0.000000
116; 88.300179; 0.000000
117; 88.200180; 0.000000
118; 88.100182; 0.000000
119; 88.000183; 0.000000
120; 87.900185; 0.000000
121; 87.800186; 0.000000
122; 87.700188; 0.000000
123; 87.600189; 0.000000
124; 87.500191; 0.000000
125; 87.400192; 0.000000
126; 87.300194; 0.000000
127; 87.200195; 0.000000
128; 87.100197; 0.000000
129; 87.000198; 0.000000
130; 86.900200; 0.000000
131; 86.800201; 0.000000
132; 86.700203; 0.000000
133; 86.600204; 0.000000
134; 86.500206; 0.000000
135; 86.400208; 0.000000
136; 86.300209; 0.000000
137; 86.200211; 0.000000
138; 86.100212; 0.000000
139; 86.000214; 0.000000
140; 85.900215; 0.000000
141; 85.800217; 0.000000
142; 85.700218; 0.000000
143; 85.600220; 0.000000
144; 85.500221; 0.000000
145; 85.400223; 0.000000
146; 85.300224; 0.000000
147; 85.200226; 0.000000
148; 85.100227; 0.000000
149; 85.000229; 0.000000
150; 84.900230; 0.000000
151; 84.800232; 0.000000
152; 84.700233; 0.000000
153; 84.600235; 0.000000
154; 84.500237; 0.000000
155; 84.400238; 0.000000
156; 84.300240; 0.000000
157; 84.200241; 0.000000
158; 84.100243; 0.000000
159; 84.000244; 0.000000
160; 83.900246; 0.000000
161; 83.800247; 0.000000
162; 83.700249; 0.000000
163; 83.600250; 0.000000
164; 83.500252; 0.000000
